taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Corynebacterium,16,FALSE,TRUE,TRUE,TRUE
Porphyromonas,6,FALSE,FALSE,FALSE,FALSE
ASV_63,6,FALSE,FALSE,FALSE,FALSE
Alloprevotella,5,FALSE,FALSE,FALSE,FALSE
Prevotella,9,FALSE,FALSE,FALSE,FALSE
Campylobacter,8,FALSE,FALSE,FALSE,FALSE
Dolosigranulum,8,FALSE,FALSE,FALSE,FALSE
Streptococcus,5,FALSE,FALSE,FALSE,FALSE
Gemella,10,FALSE,FALSE,FALSE,FALSE
Staphylococcus,19,TRUE,TRUE,TRUE,TRUE
ASV_35,9,FALSE,FALSE,FALSE,FALSE
Veillonella,10,FALSE,FALSE,FALSE,FALSE
Fusobacterium,9,FALSE,FALSE,FALSE,FALSE
Streptobacillus,7,FALSE,FALSE,FALSE,FALSE
ASV_22,15,FALSE,FALSE,TRUE,TRUE
Neisseria,5,FALSE,FALSE,FALSE,FALSE
Klebsiella,8,FALSE,FALSE,FALSE,FALSE
Haemophilus,15,FALSE,FALSE,TRUE,TRUE
Acinetobacter,7,FALSE,FALSE,FALSE,FALSE
Moraxella,17,FALSE,TRUE,TRUE,TRUE
