taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
ASV_34_Corynebacterium_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_4_Corynebacterium_nan,18,FALSE,TRUE,TRUE,TRUE
ASV_8_Corynebacterium_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_40_Porphyromonas_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_58_Porphyromonas_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_33_Alloprevotella_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_63_ASV_63_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_6_Dolosigranulum_pigrum,1,FALSE,FALSE,FALSE,FALSE
ASV_10_Streptococcus_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_24_Streptococcus_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_7_Streptococcus_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_39_Gemella_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_5_Staphylococcus_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_35_ASV_35_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_49_Streptobacillus_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_13_Neisseria_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_20_Neisseria_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_22_ASV_22_nan,0,FALSE,FALSE,FALSE,FALSE
ASV_2_Haemophilus_nan,20,TRUE,TRUE,TRUE,TRUE
ASV_3_Haemophilus_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_1_Moraxella_nan,0,FALSE,FALSE,FALSE,FALSE
ASV_11_Moraxella_lincolnii,3,FALSE,FALSE,FALSE,FALSE
